datetime,currency,impact,event,actual,forecast,previous
2021-05-06 13:15:00+00:00,EUR,2,ECB's Schnabel speech,,,
2021-05-07 01:30:00+00:00,AUD,3,RBA Monetary Policy Statement,,,
2021-05-07 03:00:00+00:00,NZD,2,RBNZ Inflation Expectations (QoQ),2.05,,1.89
2021-05-07 05:45:00+00:00,CHF,2,Unemployment Rate s.a (MoM),3.1,3.3,3.3
2021-05-07 06:00:00+00:00,EUR,2,Industrial Production s.a. (MoM),2.5,2.3,-1.6
2021-05-07 06:00:00+00:00,EUR,2,Trade Balance s.a.,14.3,19.5,19.1
2021-05-07 10:00:00+00:00,EUR,3,ECB's President Lagarde speech,,,
2021-05-07 12:30:00+00:00,CAD,2,Average Hourly Wages (YoY),-1.6,,2.01
2021-05-07 12:30:00+00:00,CAD,3,Net Change in Employment,-207.1,-175.0,303.1
2021-05-07 12:30:00+00:00,CAD,2,Participation Rate,64.9,64.9,65.2
2021-05-07 12:30:00+00:00,CAD,3,Unemployment Rate,8.1,7.8,7.5
2021-05-07 12:30:00+00:00,USD,2,Average Hourly Earnings (MoM),0.7,0.0,-0.1
2021-05-07 12:30:00+00:00,USD,2,Average Hourly Earnings (YoY),0.3,-0.4,4.2
2021-05-07 12:30:00+00:00,USD,2,Labor Force Participation Rate,61.7,,61.5
2021-05-07 12:30:00+00:00,USD,3,Nonfarm Payrolls,266.0,978.0,916.0
2021-05-07 12:30:00+00:00,USD,2,U6 Underemployment Rate,10.4,,10.7
2021-05-07 12:30:00+00:00,USD,2,Unemployment Rate,6.1,5.8,6.0
2021-05-07 14:00:00+00:00,CAD,2,Ivey Purchasing Managers Index,59.9,,67.3
2021-05-07 14:00:00+00:00,CAD,2,Ivey Purchasing Managers Index s.a,60.6,60.5,72.9
2021-05-07 15:00:00+00:00,USD,3,President Biden speech,,,
2021-05-10 01:30:00+00:00,AUD,2,Retail Sales (QoQ),-0.5,,2.5
2021-05-10 01:30:00+00:00,AUD,3,Retail Sales s.a. (MoM),1.3,1.4,1.4
2021-05-10 23:01:00+00:00,GBP,2,BRC Like-For-Like Retail Sales (YoY),39.6,14.8,20.3
2021-05-10 23:30:00+00:00,JPY,2,Overall Household Spending (YoY),6.2,1.5,-6.6
2021-05-11 08:30:00+00:00,AUD,3,Budget Release,,,
2021-05-11 09:00:00+00:00,EUR,2,ZEW Survey – Current Situation,-40.1,-41.3,-48.8
2021-05-11 09:00:00+00:00,EUR,2,ZEW Survey – Economic Sentiment,84.4,72.0,70.7
2021-05-11 09:00:00+00:00,EUR,2,ZEW Survey – Economic Sentiment,84.0,71.2,66.3
2021-05-11 14:30:00+00:00,GBP,3,BoE's Governor Bailey speech,,,
2021-05-11 14:30:00+00:00,USD,2,Fed's Williams speech,,,
2021-05-11 16:00:00+00:00,USD,2,Fed's Brainard speech,,,
2021-05-12 05:00:00+00:00,JPY,2,Leading Economic Index,103.2,,98.7
2021-05-12 06:00:00+00:00,EUR,3,Harmonized Index of Consumer Prices (YoY),2.1,2.1,2.1
2021-05-12 06:00:00+00:00,GBP,2,Gross Domestic Product (MoM),2.1,1.4,0.4
2021-05-12 06:00:00+00:00,GBP,3,Gross Domestic Product (QoQ),-1.5,-1.6,1.3
2021-05-12 06:00:00+00:00,GBP,2,Gross Domestic Product (YoY),-6.1,-6.1,-7.3
2021-05-12 06:00:00+00:00,GBP,2,Industrial Production (MoM),1.8,1.0,1.0
2021-05-12 06:00:00+00:00,GBP,2,Manufacturing Production (MoM),2.1,1.0,1.3
2021-05-12 06:00:00+00:00,GBP,2,Manufacturing Production (YoY),4.8,3.7,-4.2
2021-05-12 08:40:00+00:00,EUR,2,European Commission releases Economic Growth Forecasts,,,
2021-05-12 09:00:00+00:00,EUR,2,Industrial Production s.a. (MoM),0.1,0.7,-1.0
2021-05-12 11:00:00+00:00,GBP,2,NIESR GDP Estimate (3M),1.3,-1.8,-1.5
2021-05-12 12:30:00+00:00,USD,2,Consumer Price Index (MoM),0.8,0.2,0.6
2021-05-12 12:30:00+00:00,USD,2,Consumer Price Index (YoY),4.2,,2.6
2021-05-12 12:30:00+00:00,USD,2,Consumer Price Index Core s.a,273.7,,271.2
2021-05-12 12:30:00+00:00,USD,3,Consumer Price Index ex Food & Energy (MoM),0.9,0.3,0.3
2021-05-12 12:30:00+00:00,USD,3,Consumer Price Index ex Food & Energy (YoY),3.0,2.3,1.6
2021-05-12 13:00:00+00:00,USD,2,Fed's Clarida speech,,,
2021-05-12 14:00:00+00:00,GBP,3,BoE's Governor Bailey speech,,,
2021-05-12 18:00:00+00:00,USD,2,Monthly Budget Statement,-226.0,-220.0,-660.0
2021-05-12 21:00:00+00:00,NZD,2,REINZ House Price Index (MoM),0.6,,2.7
2021-05-12 23:50:00+00:00,JPY,2,Current Account n.s.a.,2650.1,2796.2,2916.9
2021-05-13 00:00:00+00:00,AUD,2,HIA New Home Sales (MoM),-54.4,,90.3
2021-05-13 12:00:00+00:00,GBP,2,BoE's Cunliffe speech,,,
2021-05-13 12:30:00+00:00,USD,2,Initial Jobless Claims,473.0,490.0,498.0
2021-05-13 12:30:00+00:00,USD,2,Initial Jobless Claims 4-week average,534.0,,560.0
2021-05-13 12:30:00+00:00,USD,2,Producer Price Index ex Food & Energy (YoY),4.1,3.7,3.1
2021-05-13 15:00:00+00:00,CAD,3,BoC's Governor Macklem speech,,,
2021-05-13 16:00:00+00:00,GBP,3,BoE's Governor Bailey speech,,,
2021-05-13 22:30:00+00:00,NZD,2,Business NZ PMI,58.4,,63.6
2021-05-14 11:30:00+00:00,EUR,2,ECB Monetary Policy Meeting Accounts,,,
2021-05-14 12:30:00+00:00,USD,3,Retail Sales (MoM),0.0,1.0,9.8
2021-05-14 12:30:00+00:00,USD,3,Retail Sales Control Group,-1.5,-0.2,6.9
2021-05-14 12:30:00+00:00,USD,2,Retail Sales ex Autos (MoM),-0.8,0.7,8.4
2021-05-14 14:00:00+00:00,USD,2,Michigan Consumer Expectations Index,77.6,,82.7
2021-05-14 14:00:00+00:00,USD,3,Michigan Consumer Sentiment Index,82.8,90.4,88.3
2021-05-14 14:00:00+00:00,USD,2,UoM 1-year Consumer Inflation Expectations,4.6,,3.4
2021-05-14 14:00:00+00:00,USD,2,UoM 5-year Consumer Inflation Expectation,3.1,,2.7
2021-05-17 14:05:00+00:00,USD,2,Fed's Clarida speech,,,
2021-05-17 14:15:00+00:00,GBP,2,BoE's Tenreyro speech,,,
2021-05-17 15:30:00+00:00,GBP,2,BoE's Vlieghe speech,,,
2021-05-17 16:30:00+00:00,GBP,2,BoE's Haldane speech,,,
2021-05-17 23:50:00+00:00,JPY,3,Gross Domestic Product (QoQ),-1.3,-1.2,2.8
2021-05-17 23:50:00+00:00,JPY,2,Gross Domestic Product Annualized,-5.1,-4.6,11.7
2021-05-18 01:30:00+00:00,AUD,3,RBA Meeting Minutes,,,
2021-05-18 06:00:00+00:00,GBP,2,Average Earnings Excluding Bonus (3Mo/Yr),4.6,4.6,4.4
2021-05-18 06:00:00+00:00,GBP,2,Average Earnings Including Bonus (3Mo/Yr),4.0,4.6,4.5
2021-05-18 06:00:00+00:00,GBP,3,Claimant Count Change,-15.1,25.6,10.1
2021-05-18 06:00:00+00:00,GBP,2,Claimant Count Rate,7.2,,7.3
2021-05-18 06:00:00+00:00,GBP,3,Employment Change (3M),84.0,,-73.0
2021-05-18 06:00:00+00:00,GBP,3,ILO Unemployment Rate (3M),4.8,4.9,4.9
2021-05-18 07:00:00+00:00,EUR,2,EcoFin Meeting,,,
2021-05-18 09:00:00+00:00,EUR,3,Gross Domestic Product s.a. (QoQ),-0.6,-0.6,-0.6
2021-05-18 09:00:00+00:00,EUR,3,Gross Domestic Product s.a. (YoY),-1.8,-1.8,-1.8
2021-05-18 12:30:00+00:00,USD,2,Building Permits (MoM),1.76,1.77,1.766
2021-05-18 12:30:00+00:00,USD,2,Housing Starts (MoM),1.569,1.71,1.739
2021-05-18 14:00:00+00:00,EUR,3,ECB's President Lagarde speech,,,
2021-05-18 14:00:00+00:00,GBP,2,BoE's Broadbent speech,,,
2021-05-18 14:00:00+00:00,GBP,3,BoE's Governor Bailey speech,,,
2021-05-18 14:00:00+00:00,GBP,2,BoE's Ramsden speech,,,
2021-05-19 00:30:00+00:00,AUD,2,Westpac Consumer Confidence,-4.8,,6.2
2021-05-19 01:30:00+00:00,AUD,2,Wage Price Index (QoQ),0.6,0.5,0.6
2021-05-19 04:30:00+00:00,JPY,2,Industrial Production (YoY),3.4,4.0,4.0
2021-05-19 06:00:00+00:00,GBP,2,Consumer Price Index (MoM),0.6,0.6,0.3
2021-05-19 06:00:00+00:00,GBP,3,Consumer Price Index (YoY),1.5,1.4,0.7
2021-05-19 06:00:00+00:00,GBP,2,Core Consumer Price Index (YoY),1.3,1.3,1.1
2021-05-19 06:00:00+00:00,GBP,2,PPI Core Output (MoM) n.s.a,0.5,0.3,0.4
2021-05-19 06:00:00+00:00,GBP,2,PPI Core Output (YoY) n.s.a ,2.5,1.8,1.7
2021-05-19 06:00:00+00:00,GBP,2,Retail Price Index (MoM),1.4,0.8,0.3
2021-05-19 06:00:00+00:00,GBP,2,Retail Price Index (YoY),2.9,2.4,1.5
2021-05-19 07:20:00+00:00,EUR,2,ECB's Panetta speech,,,
2021-05-19 08:00:00+00:00,EUR,2,EU Financial Stability Review,,,
2021-05-19 09:00:00+00:00,EUR,2,Core Harmonized Index of Consumer Prices (MoM),0.5,0.6,1.0
2021-05-19 09:00:00+00:00,EUR,2,Core Harmonized Index of Consumer Prices (YoY),0.7,0.8,0.8
2021-05-19 09:00:00+00:00,EUR,2,Harmonized Index of Consumer Prices (MoM),0.6,0.6,0.9
2021-05-19 09:30:00+00:00,EUR,2,10-y Bond Auction,-0.09,,-0.25
2021-05-19 12:30:00+00:00,CAD,2,BoC Consumer Price Index Core (MoM),0.5,-0.1,0.3
2021-05-19 12:30:00+00:00,CAD,3,BoC Consumer Price Index Core (YoY),2.3,1.3,1.4
2021-05-19 12:30:00+00:00,CAD,2,Consumer Price Index - Core (MoM),0.7,,0.1
2021-05-19 12:30:00+00:00,CAD,2,Consumer Price Index (MoM),0.5,0.4,0.5
2021-05-19 12:30:00+00:00,CAD,2,Consumer Price Index (YoY),3.4,3.2,2.2
2021-05-19 15:50:00+00:00,EUR,2,ECB's Lane speech,,,
2021-05-19 18:00:00+00:00,USD,3,FOMC Minutes,,,
2021-05-19 23:50:00+00:00,JPY,2,Exports (YoY),38.0,30.9,16.1
2021-05-19 23:50:00+00:00,JPY,2,Imports (YoY),12.8,8.8,5.7
2021-05-19 23:50:00+00:00,JPY,2,Merchandise Trade Balance Total,255.3,,663.7
2021-05-20 01:00:00+00:00,AUD,2,Consumer Inflation Expectations,3.5,3.6,3.2
2021-05-20 01:30:00+00:00,AUD,3,Employment Change s.a.,-30.6,15.0,70.7
2021-05-20 01:30:00+00:00,AUD,2,Full-Time Employment,33.8,,-20.8
2021-05-20 01:30:00+00:00,AUD,3,Unemployment Rate s.a.,5.5,5.6,5.6
2021-05-20 02:00:00+00:00,NZD,3,Budget Release,,,
2021-05-20 06:00:00+00:00,EUR,2,Producer Price Index (MoM),0.8,0.8,0.9
2021-05-20 08:00:00+00:00,EUR,2,ECB's Lane speech,,,
2021-05-20 09:05:00+00:00,GBP,2,BoE's Cunliffe speech,,,
2021-05-20 12:00:00+00:00,EUR,3,ECB's President Lagarde speech,,,
2021-05-20 12:30:00+00:00,USD,2,Initial Jobless Claims,444.0,450.0,473.0
2021-05-20 12:30:00+00:00,USD,2,Initial Jobless Claims 4-week average,504.75,,534.0
2021-05-20 12:30:00+00:00,USD,2,Philadelphia Fed Manufacturing Survey,31.5,43.0,50.2
2021-05-20 23:00:00+00:00,AUD,2,S&P Global Manufacturing PMI,,59.8,
2021-05-20 23:00:00+00:00,AUD,2,S&P Global Services PMI,,58.9,
2021-05-20 23:01:00+00:00,GBP,2,GfK Consumer Confidence,-9.0,-12.0,-15.0
2021-05-20 23:30:00+00:00,JPY,2,National Consumer Price Index (YoY),-0.4,-0.4,-0.2
2021-05-20 23:30:00+00:00,JPY,2,"National CPI ex Food, Energy (YoY)",-0.2,0.5,0.3
2021-05-20 23:30:00+00:00,JPY,2,National CPI ex Fresh Food (YoY),-0.1,-0.2,-0.1
2021-05-21 00:00:00+00:00,EUR,2,Eurogroup Meeting,,,
2021-05-21 01:30:00+00:00,AUD,3,Retail Sales s.a. (MoM),1.1,0.5,1.3
2021-05-21 06:00:00+00:00,GBP,2,Retail Sales (MoM),9.2,4.5,5.4
2021-05-21 06:00:00+00:00,GBP,2,Retail Sales (YoY),42.4,36.8,7.2
2021-05-21 06:00:00+00:00,GBP,2,Retail Sales ex-Fuel (MoM),9.0,4.2,4.9
2021-05-21 06:00:00+00:00,GBP,2,Retail Sales ex-Fuel (YoY),37.7,31.7,7.9
2021-05-21 06:30:00+00:00,CHF,2,Industrial Production (YoY),4.8,,-3.8
2021-05-21 07:30:00+00:00,EUR,3,HCOB Composite PMI,,57.1,
2021-05-21 07:30:00+00:00,EUR,3,HCOB Manufacturing PMI,,65.9,
2021-05-21 07:30:00+00:00,EUR,2,HCOB Services PMI,,52.0,
2021-05-21 08:00:00+00:00,EUR,3,HCOB Composite PMI,,55.1,
2021-05-21 08:00:00+00:00,EUR,2,HCOB Manufacturing PMI,,62.5,
2021-05-21 08:00:00+00:00,EUR,2,HCOB Services PMI,,52.3,
2021-05-21 08:30:00+00:00,GBP,2,S&P Global Composite PMI,,,
2021-05-21 08:30:00+00:00,GBP,2,S&P Global Manufacturing PMI,,60.0,
2021-05-21 08:30:00+00:00,GBP,3,S&P Global Services PMI,,62.0,
2021-05-21 11:00:00+00:00,EUR,3,ECB's President Lagarde speech,,,
2021-05-21 12:30:00+00:00,CAD,3,Retail Sales (MoM),3.6,2.3,4.8
2021-05-21 12:30:00+00:00,CAD,2,Retail Sales ex Autos (MoM),4.3,2.2,4.8
2021-05-21 13:45:00+00:00,USD,2,S&P Global Composite PMI,,,
2021-05-21 13:45:00+00:00,USD,2,S&P Global Manufacturing PMI,,60.2,
2021-05-21 13:45:00+00:00,USD,2,S&P Global Services PMI,,64.5,
2021-05-21 14:00:00+00:00,EUR,2,Consumer Confidence,-5.1,-6.8,-8.1
2021-05-22 11:30:00+00:00,EUR,2,ECB's De Guindos speech,,,
2021-05-23 22:45:00+00:00,NZD,3,Retail Sales (QoQ),2.5,-4.4,-2.7
2021-05-23 22:45:00+00:00,NZD,2,Retail Sales ex Autos (QoQ),3.2,1.9,-3.1
2021-05-24 11:05:00+00:00,JPY,3,BoJ's Governor Kuroda speech,,,
2021-05-24 12:30:00+00:00,USD,2,Chicago Fed National Activity Index ,0.24,,1.71
2021-05-24 13:00:00+00:00,USD,2,Fed's Brainard speech,,,
2021-05-24 14:30:00+00:00,GBP,3,BoE's Governor Bailey speech,,,
2021-05-24 15:30:00+00:00,GBP,3,BoE Monetary Policy Report Hearings,,,
2021-05-24 16:00:00+00:00,USD,2,Fed's Bostic speech,,,
2021-05-25 06:00:00+00:00,EUR,2,Gross Domestic Product (QoQ),-1.8,-1.7,-1.7
2021-05-25 06:00:00+00:00,EUR,2,Gross Domestic Product (YoY),-3.1,-3.0,-3.0
