datetime,currency,impact,event,actual,forecast,previous
2011-01-20 21:30:00+00:00,NZD,2,Business NZ PMI,53.1,,52.7
2011-01-21 09:00:00+00:00,EUR,2,German Business Expectations,107.8,106.30,106.9
2011-01-21 09:00:00+00:00,EUR,2,German Current Assessment,112.8,113.40,112.9
2011-01-21 09:00:00+00:00,EUR,3,German Ifo Business Climate Index,110.3,110.10,"vised From 109.9>109.8                            """
2011-01-21 09:30:00+00:00,GBP,3,Retail Sales,-0.8,-0.10,vised From 0.3
2011-01-21 13:30:00+00:00,CAD,3,Core Retail Sales,1,0.60,0.9
2011-01-21 13:30:00+00:00,CAD,2,Retail Sales,1.3,0.50,vised From 0.8
2011-01-21 17:00:00+00:00,USD,2,U.S. Baker Hughes Oil Rig Count,798,,789
2011-01-21 20:30:00+00:00,GBP,2,CFTC GBP speculative net positions,5.8,,-5.1
2011-01-21 20:30:00+00:00,USD,2,CFTC Crude Oil speculative net positions,166.6k,,169.1k
2011-01-21 20:30:00+00:00,USD,2,CFTC Gold speculative net positions,165,,177.4
2011-01-21 20:30:00+00:00,AUD,2,CFTC AUD speculative net positions,53.5,,53.5
2011-01-21 20:30:00+00:00,JPY,2,CFTC JPY speculative net positions,20.5,,24.7
2011-01-21 20:30:00+00:00,EUR,2,CFTC EUR speculative net positions,4.1,,-45.2
2011-01-24 00:30:00+00:00,AUD,2,PPI,0.1,0.50,1.3
2011-01-24 08:30:00+00:00,EUR,3,German Manufacturing PMI,60.2,61.10,"vised From 60.9>60.7                              """
2011-01-24 08:30:00+00:00,EUR,2,German Services PMI,60,59.20,"vised From 58.3>59.2                              """
2011-01-24 09:00:00+00:00,EUR,2,Manufacturing PMI,56.9,57.10,57.1
2011-01-24 09:00:00+00:00,EUR,2,Services PMI,55.2,54.20,54.2
2011-01-24 10:00:00+00:00,EUR,2,Industrial New Orders,2.1,2.30,1.4
2011-01-24 18:00:00+00:00,GBP,2,BoE MPC Member Sentance Speaks,,,
2011-01-25 00:30:00+00:00,AUD,3,CPI,0.4,0.80,0.7
2011-01-25 00:30:00+00:00,AUD,2,Trimmed Mean CPI,0.3,0.80,0.6
2011-01-25 03:30:00+00:00,JPY,2,BoJ Interest Rate Decision,0.1,0.10,0.1
2011-01-25 07:00:00+00:00,EUR,2,GfK German Consumer Climate,5.7,5.50,"vised From 5.4>5.5                                """
2011-01-25 07:15:00+00:00,JPY,3,BoJ Press Conference,,,
2011-01-25 09:30:00+00:00,GBP,3,GDP,-0.5,0.50,0.7
2011-01-25 12:00:00+00:00,CAD,3,Core CPI,-0.3,-0.10,0
2011-01-25 12:00:00+00:00,CAD,2,CPI,0,0.20,0.1
2011-01-25 14:00:00+00:00,USD,2,S&amp;P/CS HPI Composite - 20 n.s.a.,-1.6,-1.30,-0.8
2011-01-25 15:00:00+00:00,USD,3,CB Consumer Confidence,60.6,53.50,"vised From 52.5>53.3                              """
2011-01-25 19:40:00+00:00,GBP,3,BoE Gov King Speaks,,,
2011-01-26 05:00:00+00:00,JPY,2,BoJ Monthly Report,,,
2011-01-26 09:30:00+00:00,GBP,2,BBA Mortgage Approvals,28.7,29.90,"vised From 30.0K>29.7                             """
2011-01-26 09:30:00+00:00,GBP,3,BoE MPC Meeting Minutes,,,
2011-01-26 15:00:00+00:00,USD,3,New Home Sales,329,300.00,"vised From 290K>280                               """
2011-01-26 15:30:00+00:00,USD,3,Crude Oil Inventories,4.8,1.25,2.6
2011-01-26 19:15:00+00:00,USD,3,FOMC Statement,,,
2011-01-26 19:15:00+00:00,USD,3,Fed Interest Rate Decision,0.25,0.25,0.25
2011-01-26 20:00:00+00:00,NZD,3,RBNZ Interest Rate Decision,3,3.00,3
2011-01-26 20:00:00+00:00,NZD,3,RBNZ Rate Statement,,,
2011-01-26 23:50:00+00:00,JPY,2,Adjusted Trade Balance,0.71,0.53,"vised From 0.43T>0.54                             """
2011-01-27 13:00:00+00:00,EUR,2,German CPI,-0.5,-0.30,1
2011-01-27 13:30:00+00:00,USD,3,Core Durable Goods Orders,0.5,0.60,vised From 2.4
2011-01-27 13:30:00+00:00,USD,2,Durable Goods Orders,-2.5,1.50,vised From -1.3
2011-01-27 13:30:00+00:00,USD,2,Initial Jobless Claims,454,408.00,"vised From 404K>403                               """
2011-01-27 15:00:00+00:00,USD,3,Pending Home Sales,2,0.80,vised From 3.5
2011-01-27 23:30:00+00:00,JPY,2,Household Spending,-3.3,-0.50,-0.4
2011-01-27 23:30:00+00:00,JPY,2,National Core CPI,-0.4,-0.40,-0.5
2011-01-27 23:30:00+00:00,JPY,2,Tokyo Core CPI,-0.2,-0.30,-0.4
2011-01-27 23:50:00+00:00,JPY,2,Monetary Policy Meeting Minutes,,,
2011-01-27 23:50:00+00:00,JPY,2,Retail Sales,-2,0.60,vised From 1.3
2011-01-28 13:30:00+00:00,USD,2,Employment Cost Index,0.4,0.40,0.4
2011-01-28 13:30:00+00:00,USD,3,GDP,3.2,3.60,2.6
2011-01-28 13:30:00+00:00,USD,2,GDP Price Index,0.3,1.60,2.1
2011-01-28 14:55:00+00:00,USD,2,Michigan Consumer Sentiment,74.2,73.20,72.7
2011-01-28 17:00:00+00:00,USD,2,U.S. Baker Hughes Oil Rig Count,809,,798
2011-01-28 20:30:00+00:00,GBP,2,CFTC GBP speculative net positions,7.9,,5.8
2011-01-28 20:30:00+00:00,USD,2,CFTC Crude Oil speculative net positions,143.3k,,166.6k
2011-01-28 20:30:00+00:00,USD,2,CFTC Gold speculative net positions,160.6,,165
2011-01-28 20:30:00+00:00,AUD,2,CFTC AUD speculative net positions,45.5,,53.5
2011-01-28 20:30:00+00:00,JPY,2,CFTC JPY speculative net positions,32.2,,20.5
2011-01-28 20:30:00+00:00,EUR,2,CFTC EUR speculative net positions,22.9,,4.1
2011-01-30 21:45:00+00:00,NZD,2,Building Consents,-18.6,-1.30,vised From 8.8
2011-01-30 21:45:00+00:00,NZD,2,Trade Balance,-250,50.00,-186
2011-01-30 23:50:00+00:00,JPY,2,Industrial Production,3.1,2.80,1
